voter_id,treatment,age_group,education,voted_2022
757,Control,45-64,Graduate,FALSE
758,Mail,45-64,BA,FALSE
759,Phone,65+,BA,TRUE
760,Phone,65+,BA,TRUE
761,Canvass,18-29,Graduate,FALSE
762,Control,45-64,BA,TRUE
763,Control,65+,Some College,TRUE
764,Canvass,45-64,Graduate,FALSE
765,Mail,45-64,Graduate,FALSE
766,Mail,65+,BA,FALSE
767,Control,65+,High School,TRUE
768,Mail,30-44,Graduate,FALSE
769,Canvass,65+,Graduate,TRUE
770,Control,45-64,Graduate,FALSE
771,Phone,30-44,Some College,TRUE
772,Canvass,45-64,High School,FALSE
773,Canvass,18-29,BA,TRUE
774,Phone,18-29,BA,FALSE
775,Mail,30-44,BA,FALSE
776,Phone,18-29,Some College,TRUE
777,Mail,45-64,Graduate,TRUE
778,Phone,30-44,Some College,FALSE
779,Control,30-44,Some College,FALSE
780,Canvass,65+,High School,FALSE
781,Canvass,18-29,Graduate,FALSE
782,Mail,30-44,Some College,FALSE
783,Control,45-64,BA,TRUE
784,Phone,30-44,BA,TRUE
785,Mail,65+,Some College,FALSE
786,Mail,18-29,BA,TRUE
787,Phone,45-64,High School,FALSE
788,Control,45-64,High School,TRUE
789,Mail,18-29,High School,FALSE
790,Mail,45-64,BA,TRUE
791,Canvass,65+,BA,FALSE
792,Control,65+,Graduate,FALSE
793,Control,18-29,Some College,TRUE
794,Mail,18-29,High School,TRUE
795,Control,30-44,High School,FALSE
796,Phone,30-44,Graduate,FALSE
797,Mail,65+,Some College,FALSE
798,Phone,65+,High School,FALSE
799,Canvass,65+,BA,TRUE
800,Phone,65+,High School,TRUE
801,Phone,18-29,BA,FALSE
802,Phone,18-29,High School,TRUE
803,Mail,18-29,High School,TRUE
804,Phone,18-29,Graduate,TRUE
805,Phone,18-29,High School,TRUE
806,Mail,18-29,Some College,FALSE
807,Mail,30-44,Some College,FALSE
808,Mail,18-29,Some College,FALSE
809,Mail,30-44,Graduate,FALSE
810,Control,18-29,Some College,TRUE
811,Phone,65+,Graduate,FALSE
812,Control,65+,Some College,TRUE
813,Phone,30-44,Some College,FALSE
814,Control,30-44,Some College,TRUE
815,Phone,18-29,Some College,FALSE
816,Phone,30-44,Some College,TRUE
817,Phone,45-64,Some College,TRUE
818,Canvass,18-29,BA,TRUE
819,Phone,65+,Graduate,TRUE
820,Control,18-29,Some College,FALSE
821,Canvass,45-64,BA,TRUE
822,Control,65+,High School,FALSE
823,Phone,45-64,BA,FALSE
824,Phone,45-64,Some College,FALSE
825,Phone,65+,BA,TRUE
826,Phone,30-44,Some College,TRUE
827,Phone,45-64,High School,FALSE
828,Mail,18-29,High School,FALSE
829,Canvass,18-29,Some College,TRUE
830,Mail,30-44,Some College,FALSE
831,Control,18-29,BA,TRUE
832,Phone,45-64,BA,FALSE
833,Mail,30-44,High School,FALSE
834,Phone,18-29,Some College,FALSE
835,Mail,30-44,BA,FALSE
836,Mail,30-44,High School,FALSE
837,Canvass,30-44,BA,TRUE
838,Phone,65+,High School,FALSE
839,Canvass,18-29,Graduate,TRUE
840,Control,30-44,Some College,FALSE
841,Phone,30-44,Graduate,TRUE
842,Mail,65+,BA,FALSE
843,Phone,45-64,Some College,FALSE
844,Control,18-29,High School,TRUE
845,Control,65+,BA,FALSE
846,Mail,18-29,Some College,TRUE
847,Control,65+,Some College,TRUE
848,Mail,18-29,Graduate,FALSE
849,Control,65+,High School,FALSE
850,Canvass,30-44,Graduate,TRUE
851,Mail,30-44,BA,TRUE
852,Phone,45-64,BA,FALSE
853,Control,45-64,High School,FALSE
854,Control,45-64,Some College,FALSE
855,Mail,45-64,BA,FALSE
856,Mail,30-44,Some College,FALSE
857,Phone,18-29,High School,FALSE
858,Mail,45-64,Some College,FALSE
859,Phone,65+,BA,FALSE
860,Phone,65+,High School,FALSE
861,Mail,45-64,BA,FALSE
862,Mail,18-29,BA,FALSE
863,Phone,45-64,Some College,TRUE
864,Mail,45-64,Graduate,TRUE
865,Phone,18-29,BA,TRUE
866,Phone,30-44,BA,TRUE
867,Phone,65+,Some College,TRUE
868,Mail,30-44,Graduate,FALSE
869,Mail,30-44,Graduate,TRUE
870,Control,30-44,BA,TRUE
871,Phone,18-29,High School,TRUE
872,Canvass,65+,Graduate,FALSE
873,Control,45-64,High School,TRUE
874,Mail,18-29,Graduate,FALSE
875,Canvass,18-29,Some College,FALSE
876,Control,65+,Graduate,FALSE
877,Phone,18-29,BA,FALSE
878,Mail,45-64,High School,FALSE
879,Mail,30-44,Some College,FALSE
880,Phone,18-29,High School,FALSE
881,Mail,65+,High School,FALSE
882,Control,65+,BA,FALSE
883,Control,45-64,Graduate,TRUE
884,Phone,30-44,BA,FALSE
885,Phone,65+,High School,TRUE
886,Mail,18-29,BA,FALSE
887,Control,30-44,High School,FALSE
888,Mail,18-29,BA,TRUE
889,Canvass,18-29,Some College,FALSE
890,Phone,65+,BA,TRUE
891,Control,30-44,High School,TRUE
892,Control,30-44,BA,FALSE
893,Control,45-64,Graduate,FALSE
894,Canvass,65+,BA,FALSE
895,Canvass,30-44,Graduate,TRUE
896,Canvass,30-44,BA,TRUE
897,Control,30-44,Graduate,FALSE
898,Phone,30-44,Some College,FALSE
899,Mail,45-64,High School,FALSE
900,Canvass,65+,High School,FALSE
901,Mail,18-29,Some College,FALSE
902,Phone,18-29,Graduate,FALSE
903,Phone,65+,High School,TRUE
904,Phone,18-29,BA,TRUE
905,Control,18-29,Some College,FALSE
906,Phone,65+,Some College,FALSE
907,Mail,30-44,Some College,TRUE
908,Control,18-29,Some College,FALSE
909,Phone,45-64,Some College,TRUE
910,Phone,65+,BA,FALSE
911,Mail,30-44,BA,FALSE
912,Phone,18-29,High School,FALSE
913,Phone,18-29,Some College,TRUE
914,Canvass,45-64,Graduate,FALSE
915,Control,30-44,High School,FALSE
916,Phone,18-29,Graduate,TRUE
917,Mail,30-44,Some College,TRUE
918,Canvass,18-29,BA,TRUE
919,Phone,45-64,Some College,FALSE
920,Control,45-64,Graduate,TRUE
921,Canvass,65+,BA,TRUE
922,Phone,45-64,Graduate,TRUE
923,Control,30-44,Some College,TRUE
924,Canvass,18-29,Graduate,FALSE
925,Mail,18-29,BA,FALSE
926,Canvass,45-64,BA,FALSE
927,Control,45-64,Graduate,FALSE
928,Canvass,45-64,High School,FALSE
929,Control,45-64,Some College,FALSE
930,Canvass,30-44,Graduate,FALSE
931,Phone,45-64,Graduate,TRUE
932,Canvass,45-64,Graduate,TRUE
933,Control,45-64,Graduate,TRUE
934,Control,18-29,High School,FALSE
935,Control,18-29,High School,FALSE
936,Canvass,30-44,BA,FALSE
937,Control,30-44,Graduate,FALSE
938,Phone,65+,Some College,FALSE
939,Control,45-64,Some College,TRUE
940,Mail,18-29,Some College,FALSE
941,Mail,30-44,BA,FALSE
942,Canvass,30-44,Graduate,FALSE
943,Canvass,45-64,High School,TRUE
944,Mail,65+,Graduate,TRUE
945,Canvass,30-44,Some College,TRUE
946,Mail,30-44,High School,FALSE
947,Canvass,18-29,High School,TRUE
948,Mail,30-44,Graduate,TRUE
949,Control,30-44,BA,FALSE
950,Canvass,45-64,Graduate,TRUE
951,Control,30-44,High School,FALSE
952,Canvass,45-64,High School,FALSE
953,Mail,65+,Some College,FALSE
954,Mail,65+,BA,FALSE
955,Control,65+,Graduate,TRUE
956,Phone,45-64,High School,TRUE
957,Canvass,30-44,Some College,FALSE
958,Canvass,18-29,BA,FALSE
959,Phone,30-44,Graduate,TRUE
960,Canvass,18-29,Some College,FALSE
961,Canvass,30-44,High School,FALSE
962,Canvass,45-64,Some College,TRUE
963,Phone,45-64,Graduate,TRUE
964,Control,65+,Graduate,FALSE
965,Canvass,30-44,Graduate,FALSE
966,Phone,30-44,BA,TRUE
967,Canvass,30-44,Graduate,FALSE
968,Control,18-29,Some College,FALSE
969,Canvass,30-44,Graduate,FALSE
970,Mail,30-44,Graduate,TRUE
971,Canvass,45-64,High School,FALSE
972,Mail,45-64,BA,FALSE
973,Control,30-44,Graduate,FALSE
974,Mail,45-64,Some College,TRUE
975,Phone,30-44,Some College,TRUE
976,Control,18-29,BA,FALSE
977,Control,45-64,BA,TRUE
978,Mail,65+,Graduate,TRUE
979,Canvass,45-64,BA,TRUE
980,Phone,18-29,High School,TRUE
981,Control,45-64,BA,FALSE
982,Control,65+,Graduate,TRUE
983,Mail,45-64,Graduate,FALSE
984,Control,45-64,Graduate,TRUE
985,Mail,65+,Graduate,TRUE
986,Phone,45-64,BA,TRUE
987,Control,18-29,High School,FALSE
988,Control,30-44,Graduate,TRUE
989,Phone,65+,Graduate,TRUE
990,Phone,30-44,High School,FALSE
991,Control,30-44,BA,FALSE
992,Canvass,65+,Some College,TRUE
993,Phone,45-64,Graduate,FALSE
994,Control,18-29,Graduate,TRUE
995,Control,30-44,Graduate,TRUE
996,Mail,65+,High School,FALSE
997,Mail,18-29,Graduate,TRUE
998,Control,45-64,High School,FALSE
999,Mail,30-44,High School,TRUE
1000,Mail,45-64,BA,FALSE
