respondent_id,age,gender,race_ethnicity,education,income_bracket,ideology,party_id,trust_gov,policy_support_env,policy_support_guns
384,20,Female,White,Less than HS,$75-100k,Very Conservative,Republican,2,1,6
385,38,Male,White,Some College,>$100k,Conservative,Democrat,2,10,8
386,31,Female,White,Graduate,>$100k,Very Liberal,Independent,2,4,7
387,70,Male,White,Some College,<$25k,Conservative,Independent,10,10,7
388,23,Female,Hispanic,Less than HS,$50-75k,Very Conservative,Independent,0,1,4
389,30,Male,Hispanic,High School,$25-50k,Very Conservative,Democrat,9,5,2
390,85,Female,White,BA,>$100k,Very Liberal,Independent,6,5,6
391,75,Female,White,BA,<$25k,Very Conservative,Independent,4,7,1
392,36,Male,White,Some College,$50-75k,Very Liberal,Independent,10,3,4
393,84,Male,Hispanic,Graduate,$75-100k,Conservative,Democrat,7,5,3
394,77,Male,Hispanic,Some College,<$25k,Moderate,Republican,3,3,3
395,82,Male,Black,Graduate,>$100k,Liberal,Independent,4,10,9
396,54,Female,White,Less than HS,>$100k,Very Conservative,Democrat,5,3,5
397,67,Non-binary,Hispanic,Less than HS,<$25k,Very Liberal,Independent,6,7,3
398,81,Non-binary,Hispanic,High School,>$100k,Very Liberal,Republican,0,6,0
399,61,Female,Hispanic,Less than HS,$50-75k,Very Conservative,Republican,2,7,5
400,43,Female,Black,High School,$75-100k,Liberal,Democrat,7,7,3
401,74,Male,Black,Graduate,>$100k,Moderate,Independent,8,6,7
402,33,Male,White,Some College,$25-50k,Conservative,Democrat,1,8,10
403,37,Female,White,Less than HS,$50-75k,Very Conservative,Republican,2,7,5
404,52,Female,Black,Less than HS,>$100k,Very Conservative,Republican,3,4,0
405,66,Female,Other,Graduate,$25-50k,Liberal,Republican,3,6,1
406,25,Male,White,BA,$75-100k,Liberal,Independent,7,3,4
407,79,Male,Black,High School,>$100k,Liberal,Democrat,5,7,7
408,53,Male,White,High School,<$25k,Conservative,Democrat,2,10,7
409,25,Female,White,Some College,<$25k,Conservative,Democrat,8,7,2
410,35,Female,White,Less than HS,<$25k,Moderate,Independent,0,5,8
411,23,Female,Asian,BA,<$25k,Very Liberal,Republican,4,5,0
412,65,Male,White,BA,$75-100k,Very Conservative,Democrat,4,0,10
413,27,Male,Hispanic,BA,<$25k,Conservative,Democrat,6,4,10
414,41,Female,Other,Some College,$50-75k,Conservative,Democrat,9,9,10
415,20,Male,Hispanic,Some College,>$100k,Very Liberal,Republican,6,3,4
416,84,Female,Hispanic,High School,$75-100k,Moderate,Democrat,6,4,1
417,23,Male,White,High School,$25-50k,Very Liberal,Republican,4,10,9
418,18,Male,White,Graduate,$25-50k,Liberal,Democrat,2,10,5
419,43,Female,Asian,BA,$50-75k,Very Conservative,Independent,5,0,1
420,38,Female,White,Graduate,$25-50k,Conservative,Republican,1,1,0
421,27,Male,White,High School,$25-50k,Moderate,Democrat,3,7,5
422,78,Male,Hispanic,Some College,>$100k,Conservative,Republican,0,3,0
423,83,Female,White,Graduate,>$100k,Very Liberal,Democrat,4,9,8
424,48,Female,White,BA,>$100k,Very Conservative,Democrat,8,6,3
425,22,Female,Black,Some College,<$25k,Moderate,Democrat,0,1,1
426,77,Male,Hispanic,Graduate,>$100k,Moderate,Democrat,9,3,2
427,34,Male,White,High School,<$25k,Moderate,Independent,9,6,2
428,71,Male,White,BA,$50-75k,Conservative,Democrat,6,10,8
429,32,Male,White,Less than HS,$75-100k,Conservative,Democrat,1,4,9
430,75,Female,Hispanic,Less than HS,$75-100k,Very Conservative,Independent,2,9,9
431,77,Male,White,Less than HS,$25-50k,Very Conservative,Democrat,8,2,2
432,40,Male,Black,Less than HS,<$25k,Very Liberal,Independent,9,0,5
433,33,Female,White,Graduate,<$25k,Very Conservative,Republican,2,0,9
434,45,Female,White,BA,<$25k,Liberal,Independent,5,10,5
435,66,Male,White,Graduate,$25-50k,Liberal,Democrat,7,6,5
436,73,Female,White,Some College,$50-75k,Conservative,Republican,0,4,0
437,63,Female,White,Less than HS,$50-75k,Moderate,Independent,6,2,5
438,77,Female,White,Graduate,$75-100k,Very Liberal,Republican,1,9,1
439,49,Non-binary,White,Less than HS,$25-50k,Moderate,Democrat,3,6,2
440,63,Female,White,BA,$50-75k,Moderate,Republican,4,5,9
441,47,Female,White,High School,$75-100k,Moderate,Democrat,6,10,1
442,39,Male,White,BA,$75-100k,Very Liberal,Independent,8,5,4
443,55,Male,White,BA,$50-75k,Very Liberal,Republican,3,0,5
444,64,Male,White,High School,<$25k,Very Conservative,Republican,5,7,8
445,51,Male,White,Graduate,>$100k,Liberal,Other,3,4,2
446,66,Female,White,Less than HS,$25-50k,Conservative,Independent,9,2,0
447,26,Female,White,BA,<$25k,Very Conservative,Republican,6,8,5
448,53,Male,Hispanic,Some College,$25-50k,Moderate,Independent,0,5,7
449,35,Male,White,Less than HS,$25-50k,Very Liberal,Democrat,9,10,8
450,78,Male,White,Some College,>$100k,Very Liberal,Republican,7,2,4
451,27,Female,Black,Some College,$75-100k,Very Liberal,Republican,9,0,3
452,72,Male,White,High School,<$25k,Very Conservative,Democrat,7,3,1
453,59,Male,White,Graduate,$50-75k,Very Liberal,Independent,10,10,8
454,20,Male,Hispanic,Graduate,$75-100k,Very Liberal,Independent,0,0,9
455,82,Female,White,BA,>$100k,Moderate,Independent,5,3,0
456,39,Male,White,Less than HS,<$25k,Very Liberal,Republican,6,9,10
457,72,Female,White,BA,<$25k,Conservative,Republican,9,8,10
458,55,Female,Hispanic,BA,$75-100k,Liberal,Republican,3,6,8
459,21,Male,White,Less than HS,<$25k,Very Liberal,Other,5,1,3
460,48,Male,Hispanic,Less than HS,$50-75k,Liberal,Independent,4,4,5
461,60,Female,White,BA,$50-75k,Very Liberal,Republican,3,1,3
462,33,Male,Hispanic,High School,$25-50k,Very Liberal,Independent,3,4,2
463,66,Female,Black,Less than HS,<$25k,Very Conservative,Democrat,10,5,3
464,36,Female,White,BA,>$100k,Liberal,Democrat,4,2,1
465,46,Male,White,Graduate,$50-75k,Very Conservative,Independent,3,9,7
466,81,Male,White,Some College,$25-50k,Very Liberal,Independent,0,7,7
467,52,Female,White,Some College,$75-100k,Liberal,Independent,0,2,3
468,58,Female,Hispanic,High School,$50-75k,Conservative,Democrat,8,9,4
469,19,Female,White,Less than HS,>$100k,Liberal,Republican,8,0,3
470,78,Female,Hispanic,Some College,>$100k,Conservative,Independent,3,8,9
471,46,Male,White,Graduate,$75-100k,Moderate,Democrat,4,9,6
472,52,Non-binary,White,Some College,$75-100k,Very Liberal,Democrat,9,10,5
473,75,Female,Asian,Some College,$25-50k,Very Conservative,Independent,4,0,4
474,84,Male,White,BA,>$100k,Conservative,Democrat,3,2,10
475,48,Female,Black,High School,$75-100k,Liberal,Republican,4,4,6
476,19,Male,White,Less than HS,$75-100k,Moderate,Independent,10,4,2
477,37,Female,Black,Less than HS,$50-75k,Moderate,Independent,10,8,0
478,20,Female,White,Some College,$25-50k,Very Conservative,Independent,8,0,5
479,80,Female,White,Less than HS,>$100k,Very Liberal,Democrat,0,9,10
480,36,Female,Black,Less than HS,>$100k,Liberal,Other,1,8,0
481,72,Female,White,Less than HS,$75-100k,Very Liberal,Democrat,1,2,7
482,23,Female,White,Graduate,<$25k,Very Conservative,Republican,8,0,7
483,55,Male,Asian,BA,<$25k,Liberal,Democrat,6,1,8
484,37,Female,Asian,BA,$25-50k,Moderate,Democrat,5,7,3
485,38,Male,White,Less than HS,<$25k,Very Liberal,Democrat,3,0,9
486,82,Female,White,Graduate,$75-100k,Liberal,Democrat,6,5,9
487,32,Female,White,Less than HS,$75-100k,Liberal,Democrat,9,9,5
488,63,Female,White,Less than HS,$25-50k,Very Conservative,Independent,4,0,1
489,59,Male,Black,High School,$25-50k,Very Liberal,Democrat,2,8,4
490,18,Male,White,Some College,$75-100k,Liberal,Republican,4,8,5
491,37,Female,White,Graduate,$25-50k,Moderate,Independent,5,6,2
492,71,Female,White,BA,$50-75k,Moderate,Republican,0,9,8
493,32,Male,White,Graduate,>$100k,Conservative,Republican,6,6,1
494,81,Female,White,Some College,$75-100k,Conservative,Independent,4,9,2
495,65,Female,White,Graduate,$50-75k,Very Liberal,Republican,10,4,0
496,51,Male,White,Graduate,>$100k,Conservative,Independent,0,10,3
497,27,Female,Other,Less than HS,$75-100k,Conservative,Democrat,9,1,5
498,67,Male,White,Graduate,$50-75k,Conservative,Republican,3,1,10
499,63,Female,Hispanic,Less than HS,<$25k,Very Conservative,Democrat,6,7,5
500,68,Female,White,Graduate,$75-100k,Very Conservative,Independent,6,6,9
