"state","county","precinct_id","year","reg_voters","turnout","dem_votes","rep_votes","median_income","pct_bachelor","race_black","race_hispanic"
"WV","e","P23252",2016,820,630,300,257,51340,75.4,46.5,31.2
"IL","z","P48568",2012,860,575,309,283,59070,16.9,4,60.5
"MI","t","P22076",2024,865,620,279,265,56874,63.7,15.8,21.5
"MS","w","P47411",2012,850,589,306,295,50469,16.4,57,32.3
"NY","c","P09656",2012,866,621,305,297,64312,33.8,36.2,40.5
"CA","p","P27579",2024,841,623,296,266,49646,39.1,33.5,39.1
"KS","h","P36994",2024,808,641,302,300,58663,19.1,43.3,51.7
"CA","c","P35180",2024,861,576,314,281,55201,27.6,34.2,31
"MD","t","P16068",2016,827,586,310,293,49298,67.9,68.9,7.1
"MD","t","P16515",2020,820,600,297,315,44649,60.8,41.2,31.4
"MA","r","P21232",2012,884,576,264,274,68566,16.2,36.1,71.7
"OH","j","P49132",2016,884,565,291,269,60533,47.3,38.4,11.5
"GA","s","P34956",2012,795,652,254,302,60161,62.7,6.3,69.9
"AL","h","P20767",2024,844,644,302,271,79082,16.5,24.2,1.2
"IA","j","P10379",2012,872,634,317,288,53790,11,11.9,46.4
"ME","i","P47888",2016,829,584,277,290,50193,78.6,19.9,19.7
"NY","b","P06010",2012,860,621,348,273,56412,65.7,53.2,59.4
"NE","e","P19020",2012,835,620,314,263,69345,43.4,22.1,18.1
"CO","j","P07314",2012,877,583,271,283,48818,55.8,28,46.2
"TX","d","P33827",2020,866,609,319,271,54295,56.9,51.6,53.6
"DE","f","P38671",2024,794,613,299,298,65901,53.9,60.3,35.6
"NE","f","P40050",2024,825,597,273,277,57514,17.1,36.3,25.4
"OR","s","P31098",2020,825,601,312,254,61480,18.6,13.1,41.9
"AL","i","P11462",2020,831,566,279,246,60530,58.7,63.5,17.5
"PA","a","P01258",2024,831,627,290,273,47666,61.9,48,3.9
"SC","v","P04061",2020,842,569,318,306,60438,15.9,2.6,64.9
"ME","g","P03391",2024,831,585,309,312,59108,42.9,24.3,57.8
"VA","k","P02246",2016,814,610,280,306,62878,78.4,2.6,68.4
"WA","y","P17217",2012,852,629,323,264,52559,57.7,58.7,66.1
"KY","q","P08184",2012,842,616,321,303,70839,37.4,28.4,25.8
"NV","u","P01588",2024,913,607,289,264,54804,68.7,37.7,32.2
"FL","m","P19045",2016,855,565,306,274,57160,56.8,15.3,3.3
"DE","a","P48586",2024,870,615,295,300,56340,11,31.6,51.9
"AK","p","P25097",2024,833,615,285,272,60041,19.5,16.7,53.2
"IL","q","P30445",2016,812,610,295,248,64157,19.8,27.3,22.3
"CT","w","P10919",2020,840,585,267,285,52839,61.5,60.3,43.3
"NM","h","P19869",2024,869,597,297,256,43018,46.6,45.5,77
"MT","a","P30542",2024,883,609,264,291,39175,53.1,39.4,63.5
"WA","s","P03216",2012,835,601,340,254,55449,62.3,0.8,39.7
"TX","b","P26203",2012,879,624,306,271,61920,12,28,43.9
"NM","t","P11471",2012,878,606,306,278,49395,26.8,14.4,8.9
"WV","m","P23056",2020,799,585,293,243,56909,20.9,38.1,8.6
"ME","y","P21284",2012,807,629,281,286,52261,76,69.8,33.1
"AZ","a","P36104",2016,841,615,299,280,61987,45,57,49
"NC","w","P12912",2012,928,581,312,256,78374,63.7,34.4,64.8
"DE","s","P10028",2016,902,602,330,266,54798,23.2,44.5,60.2
"IN","m","P23378",2012,857,596,313,284,67686,36.4,64.9,20.6
"PA","f","P25235",2016,834,543,307,284,38644,72.3,33.7,47.3
"GA","x","P08057",2020,811,579,284,289,51564,15.4,35.2,39
"MI","n","P06470",2020,825,599,305,264,57990,12.4,62.5,40.5
"NY","n","P43093",2020,825,620,313,272,57186,62.9,55.5,15.4
"RI","c","P11615",2024,871,619,279,298,52446,55.9,24.7,5.4
"AL","o","P02167",2016,885,606,280,257,69149,13.3,12.6,68.8
"ME","i","P25234",2020,815,599,284,261,45953,70.8,61.8,79.3
"NJ","z","P12464",2016,852,615,285,292,76050,20.3,42.7,35.3
"AZ","x","P18167",2020,848,610,321,276,48945,46.3,68.7,10
"LA","v","P16125",2012,835,598,274,303,49128,61.2,12.8,4.3
"FL","t","P05156",2012,774,613,311,288,36650,66.9,21.1,72.8
"IN","t","P26885",2012,870,598,293,296,44208,65,0.1,68.7
"TX","u","P45030",2016,832,610,299,287,45744,23.5,33.4,21
"KS","m","P27208",2016,837,595,320,275,48959,72.5,16.7,26.6
"OH","b","P47440",2020,835,601,280,274,69406,50.7,38.9,55.3
"WV","z","P10646",2020,829,637,297,268,39726,48.8,55.3,38.5
"RI","e","P35856",2012,837,577,285,300,59080,66.6,12.8,69.4
"AR","d","P29086",2020,840,590,307,263,52161,12.6,11.2,15.7
"VT","b","P47148",2016,875,618,306,281,52785,22.4,43,69.3
"TX","n","P44235",2024,899,560,325,259,51071,40.8,34.2,13
"ME","j","P14347",2012,826,591,291,264,62898,39.5,56.3,75
"SD","d","P05367",2012,873,646,293,294,71483,57.2,61.2,36.9
"CA","i","P37189",2020,827,610,294,301,36611,38.2,38.1,71.8
"WV","u","P09919",2016,866,598,293,281,64063,59.7,29.7,59
"TN","j","P39264",2016,808,617,281,277,65383,19.5,13.9,65.8
"NY","m","P07044",2016,863,611,275,285,49628,63.5,54,74.5
"RI","g","P15277",2020,889,639,318,282,45754,44.8,33.3,38.1
"CO","x","P01978",2012,856,610,318,308,39397,64,16.9,50.8
"NH","o","P26975",2024,854,587,333,288,49093,41.2,4.6,12
"ND","c","P06927",2012,873,637,314,285,41959,79.1,45.9,8.3
"DE","g","P43579",2024,911,618,275,273,37830,31.4,13.6,16.6
"HI","s","P37533",2024,828,614,284,257,63449,14.3,61.1,53.5
"LA","p","P14883",2020,862,594,282,299,40341,19.5,17.6,7.4
"FL","o","P21070",2020,892,626,290,261,54163,40.6,6.6,26
"NM","e","P34465",2016,830,647,274,309,51052,60.7,20.2,56.8
"SC","v","P38601",2016,803,636,317,289,62058,65.6,64,72
"AL","s","P28160",2012,839,626,305,272,67366,48.7,44.4,4.6
"DE","u","P28706",2020,827,626,312,300,58924,28.2,11.2,1.5
"CA","j","P42572",2012,853,579,324,242,43252,69.5,22.8,68.2
"NJ","t","P19055",2024,883,618,283,241,48904,58.7,54.3,27.6
"SD","g","P47121",2016,829,600,301,297,39769,59.9,63.6,40.4
"OH","k","P45938",2020,825,595,289,256,67117,45.5,3,43.3
"IA","c","P25209",2020,903,592,281,272,72137,17,12.4,75.1
"NY","i","P36238",2016,851,589,298,286,48214,31.9,22.2,42.8
"OR","x","P39219",2012,845,593,291,298,45529,43.6,5.1,62.8
"AL","h","P26342",2012,845,569,344,271,57676,31.9,1.1,18.1
"ND","x","P24986",2016,899,605,301,273,51757,13.2,4.1,65.7
"GA","g","P10204",2024,869,594,307,262,51400,10.6,6,70.5
"NH","x","P00288",2016,876,601,301,292,53725,31.7,55,66.8
"OK","s","P11516",2020,826,608,302,266,54460,51,8.1,72.9
"MO","b","P28880",2020,882,618,303,283,39913,39.9,5.1,78.1
"OR","p","P04932",2020,855,620,291,262,54559,51.7,2.9,64.7
"NV","s","P34869",2020,878,591,289,292,45376,67.1,32.8,34.1
"LA","m","P41031",2020,889,577,328,249,60845,63,12.7,76.3
"MO","i","P38112",2020,819,567,275,286,79678,53.1,14.1,70.6
"TN","h","P29922",2012,886,605,286,308,54034,36.9,22.7,8.4
"IA","f","P10330",2012,884,593,308,283,54721,31.3,60.7,45.9
"CT","a","P17378",2024,853,636,283,283,67972,65.7,62.9,1.8
"MO","d","P25181",2012,866,570,320,298,56173,50.5,14.1,40.1
"KS","d","P33797",2016,843,599,321,290,61525,27.4,55.5,46.1
"UT","k","P37410",2016,839,590,267,288,55542,29.9,53.7,19.5
"MA","b","P44467",2016,838,543,290,269,48251,77,41.6,43.9
"AL","n","P09672",2020,860,607,319,266,66356,19.9,9.8,18.2
"IN","m","P24794",2024,841,619,266,271,52510,79.2,20.3,11.1
"NE","e","P44115",2016,837,592,328,276,56737,43.5,18.7,7.7
"UT","a","P12807",2024,855,579,307,296,76256,65.9,58.1,21
"NH","w","P44745",2024,878,584,284,304,58505,71.8,31.6,65.9
"CO","m","P06659",2024,807,637,315,277,39008,72,69.7,1.1
"PA","m","P20937",2012,844,618,326,285,47295,49.8,29.3,61.1
"VT","x","P48677",2016,821,594,285,286,64855,53.2,45.2,9.8
"IN","d","P30970",2020,842,602,273,255,55016,45.1,5.7,27.2
"NJ","b","P43365",2016,839,611,292,281,50822,10.9,54.5,49.5
"SC","e","P24303",2020,887,597,285,268,46617,68,5.5,44.9
"CT","p","P24076",2024,873,547,319,291,49589,44.1,48,48.5
"OH","g","P28830",2016,807,621,299,294,60430,12.2,11.6,66.2
"ND","u","P40511",2024,860,613,304,269,40762,50.9,44.4,63.4
"AR","i","P22202",2020,827,618,320,307,57082,20.4,44.8,11.7
"FL","f","P25481",2012,866,619,324,296,75622,79.6,54.2,76.7
"LA","g","P40963",2016,825,617,300,274,54347,49.8,6.8,30.6
"HI","x","P35166",2020,834,643,294,290,57284,77.4,55.3,49.7
"MT","p","P36634",2016,849,587,266,290,42029,34.3,39.8,33.4
"ID","x","P08795",2016,817,639,280,284,54289,19.6,33.6,60.6
"NJ","z","P45528",2024,814,576,278,298,46299,30.8,58.8,54.9
"CO","x","P31396",2012,842,632,288,289,56205,47.4,50.2,75
"UT","r","P45441",2012,851,583,300,293,60179,32.4,60.7,50.6
"MA","s","P24924",2024,812,627,343,293,67203,57.9,9.9,43.2
"IL","m","P01278",2012,853,606,267,278,50459,34.1,1.5,50.3
"NH","d","P41745",2012,839,552,274,287,66169,65.2,63.3,13.7
"NE","c","P44228",2012,822,616,289,295,58276,45.2,12.4,63.7
"GA","s","P07124",2012,860,631,296,273,44255,39.8,25.9,48.2
"VA","z","P25311",2016,854,589,302,290,59754,57.4,44.2,44.8
"HI","p","P42730",2020,856,581,300,287,50762,76.2,47.3,40.1
"MS","g","P11080",2016,843,599,333,261,50136,77.7,7.4,77.5
"GA","n","P42319",2012,882,586,320,308,52298,76.1,17.7,62.3
"VT","f","P16524",2024,901,599,329,300,64847,71.1,53.3,29.5
"IL","e","P07111",2012,868,610,295,261,58767,28.2,64.4,62.7
"OK","t","P19738",2016,885,572,291,267,52385,63.5,51.3,58.9
"TX","m","P11553",2012,834,583,276,295,51192,42.8,54.2,51.1
"OR","w","P06552",2020,846,584,292,287,54221,44.9,13.5,61.1
"KS","y","P14871",2024,857,624,319,280,53831,32,35.1,15.8
"OK","j","P16455",2020,828,615,318,279,45202,18.3,43.8,16.7
"VT","p","P29375",2024,868,604,301,293,54495,12.7,4.1,38.7
"AK","t","P09115",2016,844,630,320,285,41533,63.6,20.9,39.5
"CT","y","P37437",2012,866,588,325,295,64720,11.1,19.3,18.8
"NM","y","P02961",2016,849,558,322,272,59335,64.3,47.5,27.1
"AL","l","P21007",2020,836,566,294,275,45156,78.6,40.6,11.2
"OR","b","P42413",2020,867,567,304,242,51182,66.3,14.8,56.8
"NY","p","P19160",2012,847,630,319,308,49136,33.5,69.4,71.7
"AR","f","P22998",2012,829,586,282,267,43853,33.6,52.2,77.8
"VT","h","P39270",2016,886,622,297,257,44375,41.5,48.9,62.9
"MT","w","P18922",2024,872,621,305,279,72484,52.9,66.2,3.3
"PA","a","P29804",2020,871,650,295,274,46270,54.5,42.2,59.9
"NY","q","P27693",2016,855,638,271,282,59485,13.3,12.7,2.1
"IN","s","P17826",2012,872,577,288,269,51978,10.5,54.6,53.1
"WV","x","P23603",2024,840,609,297,275,51778,61.5,13.8,74.3
"NY","v","P09681",2012,864,589,289,316,40238,75,44.2,62
"ND","b","P03789",2012,818,562,336,293,49646,57.8,5,7.1
"VT","n","P18164",2012,777,605,324,289,62068,51,27.5,50.9
"WV","n","P23210",2024,820,531,315,289,47224,26.8,20.6,17.3
"MD","w","P21226",2016,919,597,286,273,50126,19.2,11.9,21.4
"CO","e","P20503",2024,852,567,298,245,69249,49.3,31.9,16.2
"DE","z","P08597",2024,841,613,290,306,48785,44.5,44.9,12.8
"AZ","b","P41266",2016,871,566,285,254,60469,21,1.7,43.7
"TN","g","P42788",2024,872,582,322,252,37927,38.8,27.9,41.6
"CT","s","P35214",2020,834,649,287,253,56722,10.7,39.6,6.5
"TX","p","P35110",2024,842,570,309,288,56525,53,68.4,28.2
"MI","l","P27651",2012,856,572,321,271,70970,46.7,13.1,26.3
"IL","h","P34843",2024,905,631,313,292,64259,13.2,23.1,27
"CO","a","P44224",2012,864,598,270,291,53158,43.6,47.4,43
"OK","r","P20575",2012,825,594,316,289,61298,54.8,48.8,45
"TX","e","P18352",2016,858,606,305,266,50968,65,15.4,58.1
"ID","y","P18287",2020,837,615,302,295,61802,67.4,56.3,30.2
"ND","n","P38783",2016,837,587,271,250,52942,63.4,13.8,1.7
"MA","i","P13150",2024,817,598,292,274,41309,65.4,18.4,6.8
"KY","q","P15190",2024,792,625,292,250,37756,17.6,16.4,57.5
"NE","c","P35899",2020,870,609,278,292,46746,25.3,4.5,5.9
"UT","k","P46956",2012,821,632,282,280,50904,66.9,31.4,50.3
"LA","f","P33795",2024,876,622,294,234,70238,53.1,34.6,55
"ID","e","P39871",2024,835,603,283,282,54520,60.9,64.2,30.9
"VT","k","P06696",2016,830,576,327,265,49361,78.8,54.8,20.7
"CA","e","P19935",2024,804,629,300,281,54522,45.9,5.2,71.8
"ND","c","P49821",2020,833,585,282,293,60608,74.6,10.4,65
"AL","d","P06289",2020,846,628,292,245,62628,63.9,27.8,45.6
"NH","d","P33347",2016,820,614,301,241,41616,51.9,59.9,17.7
"IA","n","P40613",2012,878,539,289,251,53043,47.3,29.4,38.5
"VT","a","P16318",2016,821,619,319,273,69362,14.8,19.1,29.5
"NE","y","P04188",2016,838,561,282,286,73799,57.4,50.1,32.4
"GA","k","P21146",2024,839,610,316,309,41050,47.3,0.7,42.8
"CO","t","P32116",2012,824,626,302,308,54319,64.7,38.8,39.3
"IA","x","P35265",2016,851,638,315,289,60352,48.2,13.3,17.3
"KS","x","P30616",2012,819,589,299,280,57258,28.8,3.1,13.9
"NM","p","P06673",2016,890,558,298,260,58402,71.7,64.7,52.7
"WA","j","P20368",2020,822,597,303,286,47042,77,48.2,12.8
"SC","u","P05456",2024,876,616,289,284,64451,33.2,47.3,43
"AR","k","P14924",2024,858,589,310,265,46111,27.9,48.7,15.3
"WA","i","P11360",2016,876,642,302,277,63117,55.4,6.6,72.9
"VA","g","P04065",2020,862,622,312,286,43788,53.7,47.2,37.5
"ME","z","P02817",2020,888,613,331,278,58037,35.2,69.5,75.4
"MS","t","P40717",2016,823,589,332,284,61911,70.6,52.4,70.4
"PA","d","P27546",2012,826,639,303,275,46220,57.9,49.2,24.9
"IA","m","P32426",2020,821,619,264,295,60204,44.2,23.3,64
"TN","x","P12606",2016,903,579,297,273,40359,53.8,56.6,50.6
"AK","y","P09092",2024,865,594,281,300,55012,17.1,3.8,79.2
"NJ","m","P10807",2024,831,609,304,252,36502,77.4,56.9,24.4
"PA","r","P29182",2024,872,619,319,252,64692,32.9,22.2,34.8
"TN","s","P11205",2024,867,614,287,282,54719,25.6,19.5,78.1
"SC","h","P41356",2012,913,569,290,273,67158,77.9,46.9,25.6
"GA","a","P23845",2012,877,630,289,290,49534,11.5,25.8,68
"NJ","e","P17888",2012,897,570,267,252,66901,47.2,39.5,73.2
"MT","d","P26345",2020,825,603,289,277,41785,34.9,39.6,57.5
"OR","w","P30887",2012,843,622,312,258,41553,55.5,55.2,34.6
"KY","n","P35513",2016,890,616,294,308,66948,66.1,22.8,44.8
"MA","o","P44346",2024,814,584,301,252,46812,36.8,32.5,38.3
"MS","o","P03405",2020,901,613,299,273,57743,55.7,14.8,65
"CT","c","P08388",2020,925,552,288,250,47315,33.4,66.3,61.2
"AL","r","P21776",2024,895,591,331,274,49335,17.6,12.5,22.6
"KY","b","P15530",2024,821,612,358,244,46328,63.5,58.9,75.9
"NE","x","P41725",2024,868,600,270,257,46801,58.8,65.8,15.2
"HI","x","P30059",2024,924,605,282,283,44787,55.2,38.3,26.9
"TN","m","P09500",2020,824,603,329,299,64045,10.6,69.1,72.1
"DE","l","P11428",2016,798,590,289,266,45246,65.3,58.8,52.4
"WA","v","P40557",2024,890,604,298,269,60847,11.3,47.6,62.9
"TN","u","P49031",2024,847,598,310,286,52552,20.2,52.8,27.6
"PA","s","P42919",2016,859,640,283,281,56331,40.5,22.4,58.4
"MD","x","P13399",2020,870,603,298,288,47484,48.1,32.9,38
"OK","r","P05307",2016,837,570,281,264,47128,72.5,44.9,35.8
"OH","u","P10317",2024,849,612,296,271,62159,79.7,67.7,5.3
"MS","i","P20646",2016,829,607,312,265,48828,59.4,23.7,32.6
"ME","h","P01919",2016,828,589,275,311,39137,54.2,63.4,35.1
"FL","c","P41830",2024,812,594,286,299,52533,17.6,59.2,1.1
"NM","u","P09443",2020,865,650,305,288,59210,25.4,59.5,65.7
"GA","c","P38725",2020,846,589,309,309,51481,18.8,36,28.8
"AR","p","P28310",2012,879,588,287,265,60861,68.6,15.1,78.8
"NJ","y","P16431",2016,828,617,283,316,46607,57.8,5.3,57.9
"ME","q","P47751",2024,846,585,285,291,41029,38.3,34.4,5.6
"ND","s","P33490",2016,891,616,313,271,53105,37.2,47.7,24.3
"FL","x","P03209",2016,873,573,302,291,54517,51.5,3.9,26.8
"AZ","g","P22036",2020,841,592,305,274,59454,79.4,26.6,71.3
"UT","f","P42532",2012,824,664,312,273,38534,75.2,34.4,37.2
"WA","f","P35649",2016,869,603,293,269,51126,21.7,10.8,73.2
"NJ","e","P00269",2016,880,614,300,301,78115,55.9,43.6,33.4
"NH","u","P12966",2012,825,609,298,261,45588,13.8,15.1,37.9
"OK","h","P11495",2012,874,600,308,276,37291,40.2,3.1,15.3
"LA","k","P48251",2020,829,630,292,283,46286,31.4,64,3.2
"NH","t","P10737",2016,838,595,306,290,47328,49.5,25.3,12.2
"UT","i","P07349",2016,814,633,272,290,39898,58,66.4,61.5
"ME","s","P39582",2020,862,653,288,279,64128,21.6,40.3,44.9
"IN","p","P00502",2020,840,580,294,267,47916,45.1,37.9,68.5
"IL","z","P05742",2020,809,613,300,277,55275,42.2,42.6,29.7
"NV","o","P13531",2024,887,621,311,280,57942,39.4,29.9,77.8
"OR","l","P12090",2020,863,590,312,283,38126,35.6,43.9,7.9
"NJ","a","P49456",2016,819,566,305,273,65392,49.2,24.4,36.2
"WV","i","P18914",2020,855,590,300,296,56153,67.3,8.2,42.9
"CA","d","P47070",2020,841,617,340,317,54603,63.1,68,47.6
"NJ","l","P11213",2016,865,606,317,266,57549,18.1,13.2,76.8
"MD","x","P04241",2016,839,638,285,295,53867,39.8,49.1,7
"LA","e","P00956",2016,927,604,312,289,51265,74.3,22.4,30
"NV","w","P37630",2020,843,606,296,247,65458,75.6,40.3,19.5
"SD","z","P33998",2020,903,613,308,279,48779,30.7,33.2,50.9
"NY","k","P17993",2012,843,576,296,292,71738,18.6,34.1,35.3
"MO","r","P13872",2020,879,569,268,283,87726,23.6,21.9,23.3
"SC","e","P01059",2016,862,594,328,271,54139,75.5,36.2,4
"CO","p","P00603",2012,854,601,333,255,54066,22.6,11.3,55.5
"HI","h","P13493",2024,850,643,301,292,30901,47.3,2.6,30.5
"CA","s","P17218",2016,839,576,285,302,52882,45.1,21.8,76.8
"AR","g","P28706",2012,861,626,329,263,48824,26.8,4.7,25.6
"NY","j","P08447",2012,886,596,305,305,48583,75.4,53.6,21.3
"IL","g","P30466",2012,834,606,321,271,52639,26.7,27.9,48.8
"NJ","r","P24817",2020,820,589,300,291,48820,10.6,51.5,64.8
"RI","y","P20084",2016,902,587,310,251,52971,72.2,63.5,3.1
"NC","h","P18382",2012,817,660,307,320,60121,28.7,34.6,5.8
"NH","h","P34748",2020,851,594,291,284,58470,45.9,38.1,4.2
"OH","o","P27305",2020,873,611,303,281,67195,39.5,14.8,26.8
"MD","w","P49774",2012,837,567,325,286,53883,50.9,35.1,30.5
"MO","p","P02117",2024,856,611,299,289,55606,71.5,9.3,3.5
"TX","t","P00552",2020,865,588,303,282,56401,23.3,4.1,38.2
"DE","z","P48163",2024,863,623,300,314,52601,44.9,19,51.6
"ID","w","P47606",2020,828,621,309,289,50076,57.9,48.6,22.6
"IA","h","P35180",2020,829,621,293,293,74340,24.7,19.2,6.4
"AK","x","P05756",2020,857,586,304,283,49532,46.4,51.4,24.4
"TN","m","P26905",2016,842,633,295,264,64356,62.2,13.1,77.6
"NY","f","P24355",2012,823,632,274,258,37364,60,66.7,60.1
"VA","i","P20215",2024,818,626,282,273,54801,20.3,55.3,12.8
"AK","x","P08029",2012,797,625,319,272,62949,21.3,65.9,8.1
"AK","d","P07809",2024,784,595,265,258,51995,45.2,3.4,71.3
"CO","z","P22190",2016,863,586,289,274,54399,43.8,59.2,69.2
"OK","n","P30212",2020,849,607,308,254,65582,52.1,16.1,70.2
"AL","s","P15994",2012,844,591,297,267,62571,15.4,50.8,45.2
"IN","m","P45246",2016,854,628,291,277,55080,24.6,60,34.7
"NC","n","P19323",2016,874,585,277,280,59020,56.7,51.1,64.3
"MD","r","P42100",2024,876,608,299,278,68037,44,14.8,9.5
"AL","n","P03225",2024,888,548,314,276,54723,25.7,20.3,62.9
"HI","z","P01687",2024,857,608,290,279,43038,79.5,52.1,17.5
"WA","g","P11523",2012,829,608,317,274,83528,29.4,33.1,34.9
"NM","y","P23212",2024,788,550,311,329,63098,55.2,61,0.4
"AZ","h","P49092",2012,774,553,343,306,64134,66.9,40.4,6.3
"GA","f","P37830",2020,831,596,280,270,71557,20.9,40.1,15.2
"SC","y","P09737",2012,873,575,307,292,55827,60.6,65.9,22.4
"KS","f","P09684",2024,821,622,311,298,62333,22.7,56.9,39.6
"NC","d","P35949",2012,870,568,288,271,53595,20.8,39.7,64.4
"AR","l","P10741",2024,867,577,291,282,47923,21.1,7.3,8.4
"ID","c","P49367",2020,900,623,298,298,59402,57.4,55.5,2.9
"NC","x","P40365",2020,843,585,314,282,36483,23.1,37,14.7
"GA","w","P04860",2016,846,592,301,294,59657,74.4,61.9,50.6
"ME","i","P45115",2020,869,563,302,237,48390,54.6,58,34.6
"KS","w","P08210",2016,883,607,323,299,58189,48.4,52.6,68.5
"LA","h","P25850",2012,857,559,277,283,60192,67,62.4,62.6
"MT","p","P29641",2020,836,573,303,291,59163,43.7,38.7,59.6
"VT","u","P46121",2024,846,612,281,285,69270,72,25.7,32.6
"TN","r","P26647",2020,821,569,279,283,56213,58.6,58.6,2.3
"PA","c","P13427",2016,812,583,296,286,62989,54.9,66.5,34.3
"CT","c","P44096",2012,818,616,305,246,46186,17.7,47.9,18.4
"SD","e","P48832",2016,809,634,331,226,44658,77,37.4,6.7
"MT","j","P24865",2020,822,580,304,301,57655,10.7,28.4,78.6
"AL","s","P00669",2020,864,602,292,297,59174,19.6,16.9,51.4
"ME","k","P01370",2020,879,615,303,265,49318,22,7.7,28.2
"RI","h","P19930",2024,866,584,338,265,48928,72.5,34.1,20.7
"NH","s","P14272",2012,863,551,295,273,41865,79.5,58.4,64
"GA","f","P32554",2016,847,612,307,270,33200,40.2,63.8,22.6
"IL","r","P40699",2012,891,590,305,241,46146,39.6,39,70.1
"GA","v","P09070",2012,823,593,318,304,39757,15.6,33.5,18
"CO","r","P14814",2016,837,610,307,303,45738,42.4,10.4,78.9
"AR","n","P10721",2012,858,594,278,293,54775,52.7,20.6,25
"OR","s","P22020",2016,859,604,266,276,62424,35.3,10.2,49.9
"AZ","q","P29767",2012,820,589,277,270,40907,67.2,67.3,23.1
"VA","w","P20455",2020,836,617,326,299,47356,38.4,48.9,22.2
"HI","o","P16368",2020,835,575,278,266,63198,19.3,28.7,30.1
"GA","p","P23051",2024,847,585,318,289,41078,51.9,7.7,34.5
"AL","k","P45914",2012,858,614,307,296,47004,19.2,9.4,41.6
"MD","b","P05045",2016,816,596,308,292,50285,61.1,14.9,23.8
"MT","d","P10285",2024,896,596,316,277,53610,13.1,32.2,32.7
"AL","u","P25693",2024,797,619,287,259,56956,53.1,50.2,41.1
"IA","c","P19062",2024,883,565,316,297,57956,66.7,32.8,63.1
"KS","t","P18780",2012,870,618,279,285,44445,48.4,54.1,26.5
"AK","c","P42715",2016,843,591,314,295,63108,32.5,60.9,37.9
"VA","l","P12762",2024,873,551,284,283,34851,57.8,25,24.6
"RI","f","P35322",2024,852,594,311,268,55076,10.5,34.6,2.3
"OH","d","P49527",2012,818,596,327,338,54937,63.5,39.6,49.1
"CA","u","P49389",2020,838,609,318,292,65599,38.1,39.1,2.2
"GA","m","P06494",2012,853,601,295,289,38045,54.9,44.3,33.7
"VT","a","P30189",2020,840,611,305,272,45630,62.3,32.6,8.6
"IN","h","P24887",2012,846,594,300,296,75140,34.6,64.7,68.9
"OK","v","P14898",2020,848,584,299,265,48032,59.2,64.2,7.1
"NV","u","P31648",2012,818,602,305,283,48331,45.9,40.4,37.8
"OH","f","P11076",2012,817,614,298,272,59182,29,6.3,75.5
"AK","q","P06171",2016,849,631,316,304,51414,65.7,40.7,44.6
"UT","i","P41894",2024,863,611,284,279,56919,40.7,46.5,42.2
"IL","m","P12520",2020,852,581,279,243,62597,50.5,11.4,16.5
"FL","c","P26557",2016,859,591,275,279,57206,34.5,28.3,49
"TN","v","P14013",2024,880,581,321,311,59395,28.2,13.7,70
"OR","e","P24199",2016,877,592,287,291,61557,11.3,35.6,56
"WA","d","P03763",2016,846,607,284,255,68048,47.3,5.9,34.1
"MS","b","P29456",2020,810,607,306,249,57324,63.1,41.6,73.5
"SD","c","P44333",2020,852,585,285,271,55783,58.3,36.8,21.8
"HI","b","P41907",2012,899,551,308,304,58215,39.1,5.1,34.3
"MA","b","P23263",2016,795,638,290,297,60472,68.1,29.1,16.5
"UT","c","P39916",2020,857,570,331,264,65186,40.6,61.9,18
"IN","u","P17466",2020,819,584,321,260,60972,65.4,61.3,20.6
"NM","z","P21962",2016,874,595,309,313,47592,48,13.7,44.2
"CO","l","P06617",2016,861,571,295,276,59712,62.4,62.1,45.6
"WA","o","P02284",2024,841,608,311,281,56104,18.5,25.9,54.9
"OR","r","P02528",2016,838,595,312,268,46859,21.8,26.9,71.9
"LA","k","P40569",2012,899,601,281,286,68223,45.2,59.9,4.5
"IL","u","P36988",2024,849,641,291,287,59978,34.8,37.2,5.7
"KS","b","P21486",2016,840,612,286,281,56449,23.4,36.9,21.5
"AK","r","P45589",2012,835,569,290,269,51972,78.5,45,22.6
"NV","c","P40957",2024,889,593,283,307,58109,74.2,44.4,36.5
"AZ","v","P15765",2012,870,616,293,246,71377,64.2,43.4,14.2
"TX","v","P21878",2024,819,631,297,253,62822,30,13.7,25.2
"AL","l","P37550",2024,853,636,319,250,51164,66,30.8,27.2
"OR","i","P29471",2012,881,566,297,301,62366,19.9,53.5,23.4
"CT","z","P23039",2020,869,556,282,281,50165,38.7,12.4,68
"KS","h","P10384",2024,815,598,305,288,50384,60.4,18.4,31
"AZ","i","P43802",2020,857,553,290,253,70419,20.5,36.9,24.6
"SD","o","P44318",2012,856,630,316,263,42951,66.2,22.7,5
"TX","c","P06732",2016,807,629,288,247,58159,23.5,48.3,4.7
"AR","i","P20189",2012,858,631,314,269,43768,72,42.7,71.8
"NE","a","P19511",2020,845,626,291,272,71286,66.4,30.1,2
"NC","o","P44423",2012,844,589,287,297,71503,37,54.8,54.4
"CT","k","P36961",2024,875,582,297,290,58120,41.6,59.4,73.4
"IN","o","P40158",2024,887,612,300,279,64052,20.5,48.3,54.4
"TN","a","P16299",2020,855,607,299,274,54827,48.2,42.4,4.7
"SC","j","P02012",2012,828,585,303,272,35491,46.6,52.2,44.4
"OK","t","P26850",2016,850,579,295,241,60921,25.7,26.5,51.7
"NC","e","P17761",2016,863,615,327,280,61103,64.4,69.9,40.7
