"county_fips","year","unemployment_rate","median_income","gini_index","poverty_rate","pop_density","urban_rural","percent_white","percent_black","percent_hispanic"
"57668",2011,6.8,41503,0.45,29.5,75.2,"Rural",40.5,43.7,59.7
"58697",2011,9.2,58395,0.31,15.9,1089.1,"Suburban",33.6,28.9,41.9
"12660",2011,2.3,42525,0.51,12.5,231.7,"Rural",37.8,34.7,2.9
"51468",2011,4.4,47628,0.52,24.9,219.4,"Rural",39.7,21.4,13.8
"30556",2011,10.5,46164,0.46,17.6,240.9,"Urban",60.7,2.7,50
"33032",2018,6.5,53007,0.48,14.8,28.4,"Rural",35.2,31.7,53.5
"47624",2015,3.1,51198,0.32,13.9,228.5,"Rural",44.2,27.3,53.1
"21095",2010,8.6,75745,0.51,29.1,192.8,"Suburban",55.9,54.7,29.7
"20733",2010,3.8,56548,0.36,16,154.2,"Suburban",66.9,11.9,43.7
"45067",2015,13.9,53075,0.55,21.8,730.3,"Suburban",60.4,9.3,53.5
"54594",2019,12.4,53407,0.54,29,144.1,"Suburban",55.2,29.6,34
"44705",2020,2.2,55250,0.49,27.2,110.1,"Urban",51.8,21.1,4.5
"47317",2012,14.8,45996,0.51,29.6,256.4,"Urban",74.8,38.2,27.9
"27441",2015,10.5,35251,0.34,13.9,188.7,"Suburban",40.5,34.3,6.1
"42853",2020,12.8,50852,0.38,10.6,316.7,"Urban",55.4,44.9,29.6
"56918",2015,14.4,61560,0.51,24.6,195.6,"Urban",40.6,11.6,26
"27937",2017,5,53799,0.54,21.1,208.3,"Rural",21.2,41.8,24.5
"59362",2013,13,61118,0.48,7.2,405.8,"Suburban",55.6,35.8,65.4
"34217",2017,3.3,46634,0.46,7,784.5,"Urban",29.1,38.8,29
"25489",2016,11.8,50107,0.53,16.9,37.7,"Rural",62.3,6.6,36.6
"18893",2012,11.5,41952,0.55,9.8,176.6,"Suburban",74.3,56.2,21.3
"51610",2011,8.5,57449,0.33,18.7,55.4,"Urban",39.2,20,42.4
"43094",2019,11.7,49938,0.33,15.2,148.1,"Rural",64.1,54.3,13.3
"34031",2011,9.3,47201,0.39,20,175.4,"Rural",89,7.9,15.7
"59362",2016,3.9,44309,0.29,6,140.6,"Urban",59.6,27.5,36.1
"20733",2015,7.9,59248,0.51,22.4,210.5,"Suburban",60.9,18.8,29.2
"12660",2019,2.9,66227,0.3,26,89.4,"Suburban",40,20,29.8
"35973",2012,9,52223,0.35,27.2,336.1,"Rural",66.4,19.4,48.5
"37226",2019,2.5,44958,0.31,12.9,133.9,"Suburban",70.6,34.5,60.4
"54161",2020,14.6,48148,0.52,25.2,274.2,"Suburban",28.9,48.8,41.5
"20733",2017,6.8,47416,0.29,29.6,282.9,"Rural",28.3,30.3,20.5
"58225",2014,9.5,62609,0.55,8.4,180.9,"Suburban",21.9,50.1,59.1
"48492",2011,7.3,40754,0.55,20.2,670.9,"Rural",33.8,42,69.2
"43791",2011,4.7,60888,0.46,18.4,115.2,"Suburban",75.9,30.3,30.2
"29373",2013,5.3,58228,0.48,11,758.6,"Urban",58.6,49.5,28.5
"39572",2017,11.3,54397,0.33,18.1,866.7,"Urban",59,3.2,20.1
"37427",2014,2.2,56525,0.44,19.6,28.5,"Suburban",34.2,36.2,34.8
"30556",2016,14,59597,0.46,19,57.9,"Urban",53.2,7.8,21.6
"27510",2013,4.4,57544,0.39,15.2,304.4,"Suburban",22.9,20.9,32.2
"47258",2018,12.3,52032,0.35,22.9,212.7,"Suburban",83.9,18.5,62.8
"22017",2014,5,57452,0.52,27.6,252.1,"Urban",48.3,20.1,16.5
"53935",2012,11.8,59788,0.35,25.9,245.8,"Urban",72.7,36.6,56.7
"42137",2016,14.6,47289,0.32,16.2,1450.8,"Urban",50.7,29.5,6.9
"45339",2013,9.2,56762,0.41,5.7,843.9,"Urban",36.1,31.1,23.8
"48536",2018,13.9,51880,0.35,25,9.6,"Urban",82.6,53.5,67.7
"54594",2012,8.7,69870,0.37,11.6,212.4,"Suburban",33.5,34.4,39.1
"34619",2010,11.9,53804,0.37,27,33.8,"Urban",51.7,18.7,20.7
"39139",2016,9,53347,0.32,25.3,171.1,"Rural",32.9,41.3,53.1
"59983",2019,5.6,38528,0.35,12.8,64.8,"Suburban",29.8,42.4,52.8
"15091",2011,10.9,42449,0.35,12.1,76.4,"Suburban",33.8,12.8,58.4
"44174",2020,10.4,62334,0.36,27.6,213,"Suburban",54,13.8,67.2
"38313",2017,5.3,57775,0.42,18.9,166.1,"Urban",60.4,25.6,42.8
"22949",2015,11.9,53954,0.37,27.5,252.5,"Rural",34.6,21.1,58.5
"58586",2013,8.6,51394,0.41,6.6,108.5,"Suburban",79,30.1,49.1
"58596",2015,7.2,50043,0.51,8.2,67.4,"Urban",24.3,12.9,28.5
"43485",2016,4.3,51945,0.28,20.3,263.5,"Urban",78,56.6,64.2
"18344",2013,3.1,56263,0.31,12.8,381.2,"Urban",78.7,1.6,18.4
"50110",2014,13.2,44090,0.51,7.7,502.7,"Suburban",27.5,45.4,5.2
"12449",2018,9.3,58332,0.46,27.8,2329,"Urban",68,27.4,30.7
"33064",2014,14.6,54466,0.42,10.2,175.4,"Suburban",77.8,4,7.8
"50550",2017,13.3,42805,0.37,6.1,341.8,"Suburban",78,39.9,46.8
"51468",2020,11.3,46090,0.38,18.1,276.7,"Suburban",39,8.5,31.6
"33032",2012,11.4,57833,0.5,7.3,152.8,"Urban",35.5,53.6,38.1
"47504",2011,12.2,34998,0.33,13.1,56,"Rural",44,53.2,54.6
"36843",2018,13,57003,0.54,16.7,410.4,"Suburban",85.7,33.1,49.7
"37065",2019,3.5,62046,0.54,23.5,294.8,"Urban",62.4,30,46.2
"38977",2013,3.2,39461,0.45,26.5,119.7,"Suburban",21.2,55,16.3
"48424",2019,8.4,45255,0.31,22,39.9,"Suburban",62.6,36.4,30.3
"47606",2015,4,56984,0.55,28.8,170.7,"Urban",50.2,4,39.4
"55223",2013,2.2,53720,0.35,17.3,60,"Urban",73.9,24.1,8.1
"44174",2015,7.8,43619,0.31,25.3,219.8,"Suburban",51.6,43.4,31.4
"43485",2016,8.9,60158,0.5,23.2,65.5,"Suburban",87.3,38.6,41.1
"18344",2010,5.9,59755,0.44,18.1,789.7,"Suburban",36.5,12.5,52.2
"41025",2011,5,50886,0.3,17.4,560.1,"Urban",72.9,54.2,3.3
"28715",2018,14.6,48581,0.34,27.2,98.3,"Urban",38.3,56.4,43.1
"11430",2010,11.3,67934,0.54,21.7,70,"Suburban",32.7,40.2,14.3
"49118",2019,6.9,41469,0.34,11.7,1062.3,"Suburban",64.1,59.7,12.7
"33805",2013,10.8,49601,0.51,14.3,1889.1,"Suburban",36.3,10.1,12.3
"53872",2014,3.2,51764,0.47,24.4,104.4,"Urban",43.1,39.6,39.6
"22949",2018,12.7,62193,0.53,13.2,205.6,"Rural",77.1,19.4,62.6
"34217",2014,10.4,53942,0.47,11.7,103.6,"Urban",69.2,26.7,27.1
"21116",2013,11.3,44470,0.44,13.8,928.6,"Urban",31.5,8.2,42.3
"57218",2020,6.5,61538,0.44,18.2,105,"Urban",24,50.8,10
"16673",2016,5.7,48294,0.48,11.4,41.9,"Suburban",42.4,6.2,65.4
"44174",2018,14.3,60878,0.29,30,568.8,"Suburban",42.2,56.3,14.7
"43573",2015,7.4,50652,0.4,21.2,61.2,"Suburban",60,18.9,40.6
"45566",2017,7.5,49666,0.48,20.8,39.9,"Suburban",27.1,17.6,3.9
"28834",2011,10.8,41664,0.32,27.9,42.1,"Urban",36.1,14,29.1
"16351",2010,6.8,46863,0.37,12.8,294.6,"Suburban",34.8,34.2,19.8
"38977",2018,14.5,59711,0.45,28.1,43.6,"Rural",39.7,29.8,21.2
"43485",2013,15,40283,0.34,5.3,63,"Suburban",46.2,39.1,32.5
"26280",2015,11.5,68197,0.43,7.1,534.9,"Suburban",49.9,20.7,12
"43297",2017,3.5,56388,0.48,12.6,83.1,"Urban",41.6,7.6,34.6
"58225",2010,8.7,50580,0.53,20.1,264.5,"Rural",78.6,1.5,57.6
"27604",2012,3.3,55751,0.37,13.8,326.8,"Suburban",57.4,10.3,4.5
"10224",2013,7.9,33025,0.49,15.8,247.1,"Suburban",39.9,46.1,42.3
"51681",2010,5.6,41764,0.45,18.8,76,"Urban",62.7,11.7,28.8
"13968",2020,11.6,58691,0.48,27.1,538.4,"Urban",84.2,58.5,55
"17825",2017,8.4,53245,0.29,8.2,186.3,"Rural",88.9,29.7,53.9
"39497",2014,13.8,50898,0.41,21.8,743.1,"Rural",63.3,39.2,51.2
"32170",2012,11.5,60295,0.55,11.5,60.1,"Urban",67.5,14.1,16.9
"11671",2010,6.4,47456,0.36,24.6,1840.3,"Rural",60.7,57.1,52.9
"29134",2016,3.7,48829,0.33,19.1,681.3,"Suburban",26,27.7,34.1
"31610",2016,12.8,46066,0.43,25,755,"Rural",46.4,30.2,26.9
"34143",2011,8.2,42652,0.41,7,34.6,"Urban",30.6,48.2,21.3
"30421",2015,12.6,54323,0.34,10,363.2,"Suburban",74.9,17.3,19.5
"17419",2015,10.8,35889,0.48,21.4,182.8,"Urban",31.6,50.5,44.8
"52367",2012,3.8,53888,0.45,11.9,169.2,"Suburban",37.7,15.2,17.6
"11363",2015,13.6,45518,0.45,23.6,788.5,"Urban",22.6,8.4,13.1
"55493",2014,12.4,46469,0.42,13.2,1224.1,"Rural",46.1,40.9,7.3
"55493",2016,8.8,53473,0.36,18.5,277.8,"Urban",32.9,47,4
"59367",2011,8.8,47354,0.31,21.1,363.7,"Urban",49.3,27.7,16.2
"48492",2010,11.2,54826,0.45,21.8,266.7,"Suburban",46.3,12.6,21.7
"21343",2019,3.1,49194,0.53,27.3,215.1,"Urban",44,48.1,59.1
"42678",2018,2.1,59966,0.43,6.9,197.6,"Suburban",50.2,38.3,52.4
"55493",2010,14.5,52557,0.51,8.3,106,"Suburban",34.2,2.7,46
"51681",2012,12.2,44734,0.32,10.9,208.4,"Urban",55.4,24.3,12.9
"16502",2017,3.3,43020,0.47,9.4,139.8,"Urban",50.3,9.2,50.5
"40345",2020,15,56392,0.29,22.8,598.7,"Rural",52.4,17.4,67.1
"45145",2018,9.2,47933,0.29,18,154.7,"Urban",65,14.7,31.4
"45145",2016,11,38084,0.41,20.1,375.3,"Rural",49.8,42.3,48.7
"31468",2012,12,59192,0.46,27.4,90.5,"Urban",32.5,54.8,54.7
"47624",2019,13.3,40338,0.49,12.8,306.8,"Urban",71.2,21.5,35.9
"56918",2013,13.4,47981,0.32,18.3,4987.7,"Rural",24.4,7.7,22.1
"26860",2016,3.3,46617,0.4,19.4,133.9,"Rural",40.2,40.5,62.8
"41150",2017,12.3,57637,0.37,9.8,194.3,"Suburban",57.1,51.8,52
"47258",2019,3.6,52141,0.33,9.2,746.1,"Rural",28.1,7.2,32.6
"35520",2017,2.1,62638,0.34,16.4,652.3,"Urban",89.9,25.2,60.4
"51610",2013,5.7,58345,0.5,11,113,"Urban",35.7,29.5,46.4
"25192",2020,4,49285,0.45,7.8,3915.9,"Urban",73.8,4.4,15.5
"35605",2018,12.7,47722,0.5,16.8,20.4,"Urban",23.2,51.1,16.2
"27604",2011,4.1,40843,0.5,27.5,220.3,"Rural",31.2,31.8,12
"10200",2015,11.8,45337,0.41,24.4,657.3,"Suburban",48.7,6.6,47.5
"29824",2010,4.7,56300,0.43,14.7,215.3,"Suburban",48,53.2,4.6
"41150",2016,8.2,54292,0.51,8.3,1042.4,"Urban",20.2,53.6,17.3
"26280",2018,9.1,55446,0.48,25.8,120.7,"Urban",25.9,8,35.2
"34143",2012,9.2,65779,0.49,24.3,35.9,"Suburban",66.6,18.6,43.5
"47294",2019,2.2,60528,0.47,8.5,85.4,"Urban",40.7,60,50.2
"46996",2012,6.1,44799,0.43,13.8,541.3,"Rural",60.9,21.4,28.6
"58586",2014,6.8,54516,0.51,20.5,39.8,"Urban",44.8,54.6,68
"59524",2013,15,55570,0.47,19.9,152.6,"Urban",79.5,1.9,29
"17281",2016,6.2,47854,0.3,18.9,633.3,"Rural",89.9,38.3,62.6
"51432",2013,11.3,56061,0.46,12.4,180.5,"Rural",38.4,54.6,25.7
"37065",2013,12.1,52394,0.3,27.9,227.9,"Rural",87,10.9,61.3
"55049",2015,3.2,61892,0.31,16.8,119.6,"Rural",20.9,29.1,64.6
"20733",2014,13.4,46109,0.4,22.5,103.6,"Suburban",73.7,1.3,42.3
"54594",2013,5.8,59039,0.48,28.6,4583.9,"Urban",88.4,46.9,65.4
"43078",2010,3.2,64066,0.4,22.6,805.1,"Urban",24.2,38.5,14.3
"25489",2017,6.9,36823,0.52,6.5,790.2,"Urban",81.8,59.7,29.9
"16351",2018,10.9,47802,0.48,13.7,266.4,"Suburban",71.4,43.5,22.1
"26860",2011,14.7,57960,0.51,20,406.9,"Suburban",55.2,22.8,13.2
"54859",2015,9.3,50954,0.54,24.6,896.1,"Suburban",59.4,12,52.8
"12947",2014,3.8,60772,0.35,27.3,392.8,"Suburban",81.4,18.7,57.4
"14588",2010,3.7,62784,0.35,11.1,243.4,"Urban",33,13.8,10.2
"42678",2011,11.1,53535,0.33,5.7,238.7,"Rural",22.1,39.2,3
"36843",2020,6.5,39718,0.54,5.9,460.3,"Suburban",34.8,8.3,65.4
"46798",2011,11.1,53642,0.46,22.6,106.2,"Rural",65.2,8.8,13.6
"28834",2011,10.6,60467,0.33,27.9,489.6,"Urban",27.8,19.4,57.6
"34217",2013,12.1,39688,0.51,18.1,91.5,"Suburban",48.4,4,12.6
"51681",2018,8.3,47754,0.36,15.1,29.2,"Urban",47.3,25.8,58.1
"53935",2010,14,51048,0.42,22.9,943.6,"Rural",40.3,58.3,16.3
"33462",2019,8.8,47561,0.45,21.6,225.3,"Urban",73.9,28.3,15.6
"10200",2015,2.8,53508,0.41,8,122,"Suburban",85.9,17.2,61.1
"34343",2018,5.3,47821,0.36,5.6,353.6,"Suburban",31.4,59.1,27.7
"25010",2011,11.9,55153,0.36,28.6,2903.1,"Urban",34.6,4.2,12.1
"47504",2019,4.7,47153,0.38,29.5,327.7,"Urban",41.4,31.3,58.6
"20043",2013,7.1,49904,0.33,14.1,275.6,"Urban",36.1,30.6,59.3
"28834",2013,10.1,54131,0.53,5.3,13.5,"Rural",66.1,12.1,40.8
"47258",2015,8.4,37008,0.41,17.6,45.1,"Urban",64.5,14.9,62.1
"52745",2015,5.9,47802,0.48,10.1,158.5,"Suburban",86.6,3.1,14.1
"39432",2017,3.5,37959,0.36,8.7,245.2,"Urban",87.8,15.3,55.5
"34217",2019,10.8,41473,0.33,15.5,119.7,"Suburban",34.5,40.4,55.4
"44174",2019,10.1,50730,0.3,19.8,383.6,"Urban",64.7,37.8,55.4
"12838",2013,3.8,50174,0.44,19.3,93.2,"Urban",51.3,15.5,54.2
"26828",2019,7.7,41757,0.31,28.4,173.2,"Rural",32.6,26.8,67
"26860",2016,2.3,58703,0.51,16.8,893.1,"Suburban",21.3,31.3,10.9
"42229",2013,8.5,45013,0.41,14.9,21.3,"Suburban",51.3,40.9,8.7
"32170",2010,4.6,54405,0.41,19,18.2,"Urban",86.8,40.6,5.8
"56918",2013,10.5,64231,0.35,12,63.7,"Urban",30.1,44,58.8
"13968",2013,6.6,50089,0.41,22.9,128.9,"Urban",86.6,20.1,56
"16351",2012,7.4,66364,0.28,13,2224.1,"Urban",31.3,41.2,53.7
"23317",2013,5.5,52307,0.38,27.4,715.9,"Urban",25.3,41.3,45.6
"55223",2018,6.6,43460,0.45,26.9,86.7,"Suburban",46.7,42.5,66.2
"57896",2017,3.9,53091,0.49,22.9,74.9,"Rural",88.5,30.6,35.8
"50272",2012,9.9,59120,0.45,7.4,40.9,"Urban",69.2,15.5,10.7
"10224",2013,14.7,45816,0.5,9.3,19.7,"Urban",82.5,37.5,32.1
"26215",2019,10.2,59165,0.37,10.2,192.5,"Rural",33.4,56.3,54.7
"59750",2019,12.4,52479,0.37,17.6,39.1,"Suburban",81.3,32.5,65.3
"52050",2016,12.7,64922,0.48,19.9,297.7,"Rural",56,59.5,36.2
"56918",2019,4,39965,0.3,25.3,189.3,"Suburban",84.4,36,36.2
"51507",2014,7.9,46824,0.49,9.9,315,"Suburban",50.9,44.4,8.6
"19037",2020,2.7,58449,0.31,19.6,182.3,"Rural",32.9,5.8,20
"41153",2014,9.2,58537,0.49,6.4,141.5,"Suburban",75.5,24.2,43.4
"27441",2015,14.6,59416,0.37,13,949.7,"Suburban",59.1,8.1,35.8
"39139",2015,8.3,55077,0.31,14.5,38.7,"Urban",80.2,6,29.5
"45336",2010,3.4,63780,0.54,29.5,168.5,"Suburban",76.4,20.4,55.3
"48492",2015,3.6,68529,0.38,9.5,220,"Rural",79.9,56.8,68.4
"51681",2011,4.9,49338,0.49,10.1,86.6,"Urban",69.8,42.5,7.7
"35520",2015,6.4,48640,0.41,13.2,117.1,"Suburban",54,24,51
"17825",2013,8.3,33710,0.47,11.2,231.9,"Urban",26.4,51.9,42.1
"14823",2013,9.1,52116,0.45,21.8,343.9,"Urban",40.4,58.3,20.9
"48944",2014,11.4,50708,0.39,12.8,439.7,"Urban",42.8,3.7,33.9
"51507",2016,10.5,52629,0.4,24.7,470.1,"Suburban",38.7,43.7,14.4
"33342",2019,15,51668,0.46,22.7,78.7,"Urban",80.7,17.5,49
"12330",2014,2.3,64253,0.37,15.4,866.3,"Rural",26.9,30,17.8
"55049",2017,3.4,40705,0.52,7.7,839.7,"Rural",81.1,15.4,24.5
"57218",2019,4.4,48543,0.45,22,168.2,"Urban",86.2,37.9,27.7
"24002",2019,2,43197,0.55,25.3,409.6,"Urban",28,4.6,27.8
"44275",2015,10.1,52674,0.33,18.6,218.2,"Suburban",58.4,22.1,30.2
"38337",2014,11.4,61661,0.3,29.8,98.2,"Urban",70.4,27,36.9
"51507",2017,6.8,40505,0.31,11.7,592.7,"Suburban",49.5,28.8,56.4
"51681",2020,13.7,56398,0.54,6.4,100.3,"Suburban",20.4,51.8,43.6
"49675",2011,5.5,45454,0.38,17,897.1,"Suburban",63.7,20.1,58.5
"59524",2015,7.3,52299,0.4,5.3,155.1,"Suburban",20.9,51,5.1
"33829",2013,5.7,54768,0.35,6.4,920.6,"Rural",36.5,43.2,39.9
"56918",2013,9.1,60947,0.35,19.9,43,"Urban",63.8,31.6,59.3
"48273",2010,4.8,46463,0.52,8.3,381.6,"Urban",85.1,16.8,49.4
"44864",2018,7.5,54706,0.43,21.1,346.7,"Rural",81.6,53,30.7
"48536",2012,8.5,52531,0.4,28.6,441.3,"Urban",75.8,24.2,68.6
"15834",2018,8.7,46546,0.38,6.2,50.5,"Urban",79.7,8.6,50.3
"48944",2015,10.2,47823,0.45,25.9,818.5,"Urban",37.5,42.5,10.6
"35401",2018,4.3,49587,0.31,14.5,56.3,"Urban",27.9,53.3,33.1
"49118",2010,11.4,50956,0.46,28.4,148.3,"Urban",45.6,30.2,6
"42194",2018,4.2,51232,0.38,18.9,124.6,"Urban",48.2,50.4,46.8
"59591",2018,12.1,48722,0.49,29.7,90.1,"Urban",87,17.1,22.1
"52229",2017,7.7,49276,0.53,24.6,16.3,"Rural",45.3,49.5,57.7
"36843",2015,8.4,40701,0.38,25.9,191.4,"Urban",75.6,48.2,24.5
"53212",2015,10.6,51294,0.31,9.3,55.5,"Urban",58.7,54.1,32.7
"17979",2019,11.3,41898,0.46,14.3,1805.2,"Urban",25.8,54.8,27
"16673",2015,12.9,56665,0.32,23.7,83.4,"Urban",62.7,59.3,28.5
"24297",2016,14.6,56294,0.29,26.1,98.2,"Rural",52.1,41.5,24.6
"49157",2015,13.5,47853,0.54,28.2,213,"Rural",60.4,35.7,29.1
"25849",2015,14.1,53741,0.45,25.3,1223,"Rural",75.3,37.1,14.9
"38221",2014,9.3,56110,0.5,20.4,777,"Suburban",41.3,5,58.2
"49675",2015,11.6,45671,0.43,5.8,51.5,"Rural",35.4,51.2,11.9
"53935",2011,2.5,56849,0.31,26.9,441.4,"Suburban",60.4,2.2,11.2
"28966",2011,7.1,38611,0.34,20.7,135.5,"Suburban",37.9,20.3,40.1
"50914",2020,3.9,40437,0.44,16.8,68.2,"Urban",51.8,2.2,15.5
"50999",2017,11.2,47969,0.47,24.3,248,"Urban",55.3,42.3,46
"58880",2017,8.3,50538,0.5,28,152.2,"Rural",36.9,55.1,21.9
"34343",2015,9.4,60314,0.5,26.8,358.9,"Suburban",28.7,15,35.4
"37029",2013,2.3,45598,0.37,11.3,233.9,"Urban",57.7,56.9,33.7
"16691",2010,6.9,52449,0.31,29.3,152.2,"Suburban",59.7,40,47.1
"44174",2018,2.2,51711,0.46,6.9,228.5,"Urban",69.1,5.7,70
"36910",2013,10.2,40794,0.34,14.9,50.1,"Suburban",34.8,59.6,19.2
"52541",2016,6.5,47832,0.54,17.3,514.4,"Rural",64.7,40.9,67.4
"43297",2012,9.1,59369,0.42,24.4,94.4,"Suburban",61.9,2.4,2.9
"16502",2019,11.9,56688,0.29,14.7,154.8,"Suburban",56.9,3,40.1
"10200",2016,7.8,56127,0.54,9.5,400.8,"Urban",51.3,29.9,3
"22949",2020,3.9,53447,0.47,6.7,172.8,"Suburban",86,33.2,25.1
"39817",2010,4.1,52562,0.43,27.3,391,"Urban",48.1,19.5,47.7
"15025",2020,4.3,56071,0.44,25.5,234.3,"Urban",29.1,57.4,68.6
"38221",2014,5.9,53757,0.36,13.7,337.9,"Urban",34.3,20,68.7
"49675",2015,3.8,45795,0.45,7.2,238,"Urban",83.5,7.4,6.7
"54559",2012,13.7,63678,0.52,9.2,82.9,"Rural",47.5,48.3,31.9
"59591",2010,6.2,70973,0.3,24.2,377.2,"Urban",53.5,58.4,24.9
"47351",2015,3.5,55441,0.32,8.1,127.2,"Suburban",71.8,21.2,36.5
"58586",2010,14.6,58635,0.51,22,868.8,"Rural",34.8,24.9,41.7
"59362",2018,5.8,48513,0.48,8,38.9,"Suburban",78.6,18.7,41.3
"43094",2011,9.7,56940,0.43,12.4,1519.5,"Urban",55.8,32.6,67.5
"10771",2015,9.4,58231,0.41,13.5,195.8,"Urban",66.9,6.7,63.9
"59750",2012,7.3,44846,0.36,21.7,284.2,"Urban",33.7,24.6,24
"50914",2012,11.8,50621,0.45,10,257.7,"Rural",73.5,2.4,34.9
"59362",2011,11,61900,0.3,17.5,228.9,"Suburban",24.5,57.7,6.1
"53346",2011,6.5,60338,0.29,5.3,485.4,"Rural",66,32.6,15.2
"59983",2011,5.4,58016,0.48,5.7,129.4,"Urban",87.7,41.7,54.2
"41153",2017,12.9,51082,0.41,6,360.7,"Suburban",27.4,48.5,19.7
"17419",2015,12.4,56782,0.51,16.1,345.8,"Suburban",39.8,15.1,11.7
"53183",2012,3.5,47020,0.33,9.1,145.4,"Urban",41.1,42.6,68.4
"33032",2010,6.5,54184,0.48,13.5,32.4,"Urban",25.4,26.9,5.6
"14588",2011,6.7,47196,0.34,20.4,147.8,"Urban",68.8,53.6,48
"37226",2011,9.7,60811,0.38,19.2,310.5,"Suburban",57.9,17.3,57.4
"57218",2016,3.6,57667,0.41,10.3,164.7,"Suburban",31.9,44.1,30.2
"41694",2010,14.4,50259,0.5,18,50.7,"Rural",38.3,26.7,48.6
"10200",2011,12.3,57239,0.49,13.2,193.4,"Rural",60.9,41,30.5
"36843",2016,2.6,59804,0.48,19.1,210.8,"Urban",56.9,42,33.5
"35973",2013,14.4,53867,0.51,5.5,276.8,"Urban",88.8,1.2,66.6
"20695",2020,4.4,53610,0.35,19.5,127.6,"Suburban",67.3,10.1,44.8
"21073",2016,3.4,40697,0.37,6.4,194.7,"Suburban",64.8,11.8,54.8
"38337",2014,4.6,47545,0.49,15.7,75.4,"Suburban",64.2,39.4,32.2
"53346",2011,6,59931,0.34,10.4,647.9,"Suburban",57.1,18.6,59.2
"38761",2010,12.1,33897,0.42,19.5,206.3,"Urban",41.9,39.2,11.8
"31389",2019,10.1,55670,0.44,6.1,367.9,"Rural",27.3,2.6,64.4
"43078",2014,6.4,55308,0.37,17.7,1136.6,"Urban",25,49.2,21.1
"20959",2014,3.2,43678,0.4,8.6,556.8,"Urban",78.6,1.3,36.8
"12133",2011,2.6,49316,0.31,26.9,41.9,"Urban",41.8,60,28.7
"59560",2012,14.2,64064,0.35,15.6,195.9,"Urban",77.9,16.7,18
"10200",2020,7.7,57403,0.54,15.2,328.5,"Urban",33,23.3,39
"51681",2016,3.8,46055,0.47,21,1056.1,"Rural",23,32.2,21.5
"27604",2019,5,54148,0.37,8.8,86.9,"Urban",74.7,34.1,39.7
"46798",2014,8.1,47788,0.55,12.5,834,"Urban",37.3,14.3,42.7
"52541",2011,5.5,58142,0.36,23,185.2,"Suburban",27.8,54.3,62.3
"43297",2011,5.3,58222,0.55,14.9,115.5,"Suburban",59.5,3.5,69.9
"39497",2019,12.3,43094,0.28,25.2,1023.5,"Suburban",40.2,54,48.8
"37065",2017,10.6,42869,0.44,9.8,268.4,"Suburban",79,27.8,62.8
"41694",2017,10.3,64559,0.49,12.4,509.5,"Urban",20.7,45.8,37.7
"48536",2018,11.9,57990,0.46,27.6,155.9,"Suburban",71.1,21.6,4.2
"54368",2018,12.4,50499,0.46,7.8,74.9,"Suburban",39.4,44.3,36.7
"58225",2020,9.2,60811,0.44,9.2,140.3,"Suburban",82.1,47.4,39.7
"29134",2012,11.9,48418,0.47,25.3,195.9,"Suburban",26.3,41.5,66.2
"48536",2017,3,50322,0.44,12.5,213.5,"Rural",77.8,16.4,34.9
"29041",2019,5.8,70444,0.4,18.2,649.4,"Urban",27.3,55.3,42.9
"51468",2010,7.9,53670,0.37,23.1,230.3,"Suburban",63.4,5.1,43.3
"35520",2012,13.9,53405,0.37,13.9,1568.9,"Urban",25.8,24,69.3
"43745",2011,11.5,43830,0.47,12.6,138.6,"Urban",60.2,46.8,28.2
"41153",2012,5.7,43453,0.51,13.8,206.7,"Suburban",68.4,36.4,36
"42608",2016,14.8,48545,0.28,14.6,269.5,"Suburban",82.7,51,18.7
"53872",2016,14.6,39274,0.44,27.1,122.4,"Urban",33.3,39.7,64
"52229",2018,6.2,40167,0.5,25.5,71.7,"Suburban",48.4,20.9,20.1
"43292",2013,8.8,66749,0.35,27.8,115.2,"Rural",51.7,2.6,12.3
"22395",2013,12.3,61583,0.48,18.9,693.2,"Rural",83.2,18.8,33.5
"32258",2016,6.3,54710,0.5,26.1,295.3,"Urban",25.7,54.6,15.8
"30428",2015,10.5,50313,0.43,28.8,89.8,"Suburban",35.3,55.6,67.2
"11363",2010,7,57037,0.47,29,503,"Suburban",39.4,29.3,31.2
"55493",2017,5.6,45395,0.38,8.5,256.7,"Urban",54.3,10.7,12
"29461",2010,9.1,62810,0.5,21.7,29.6,"Urban",68.2,43.1,28.9
"30421",2016,5.6,64737,0.35,23.5,284.1,"Suburban",69.5,51.5,45
"27510",2016,7.7,49982,0.33,16.3,118.4,"Rural",55.8,27,65.5
"51432",2017,7.8,51877,0.43,21.8,90.4,"Suburban",45.4,25.4,54.3
"45620",2011,14.6,53773,0.49,29.4,253.9,"Urban",87.2,53.7,68.1
"45283",2016,11.4,42165,0.37,29.3,117.7,"Suburban",64.9,39.3,67.4
"41468",2020,9.3,55726,0.35,6.9,117.8,"Urban",31.8,52.3,56.9
"39003",2011,6,53651,0.29,25.2,362.2,"Suburban",75.1,56.8,3.3
"16351",2015,13.5,59705,0.35,10,15.5,"Urban",77.1,18,52.4
"54450",2012,11.1,59769,0.49,16.1,61.1,"Urban",27.4,55.7,19.1
"37029",2013,7.3,54684,0.41,7.1,157.2,"Urban",33.6,5,45.3
"20043",2011,14.2,44017,0.52,21.6,244.2,"Urban",86.2,55.4,31
"12133",2010,2.6,55382,0.41,30,70.3,"Urban",61.4,34.1,32.1
"12448",2020,4.4,46639,0.54,7.4,41.8,"Rural",41.9,33.1,18.5
